Element Type,Details,Timestamp
Header,Productos destacados,2024-05-31 01:05:20
Header,Categorías,2024-05-31 01:05:20
Header,Contacto,2024-05-31 01:05:20
Header,Acerca de,2024-05-31 01:05:20
Header,Medios de Pago,2024-05-31 01:05:20
Input Field,"Type: search, Name: unnamed",2024-05-31 01:05:20
Button,0,2024-05-31 01:05:20
Button,,2024-05-31 01:05:20
Button,,2024-05-31 01:05:20
Button,,2024-05-31 01:05:20
Button,,2024-05-31 01:05:20
Button,,2024-05-31 01:05:20
Button,,2024-05-31 01:05:20
Button,,2024-05-31 01:05:20
Button,,2024-05-31 01:05:20
Button,,2024-05-31 01:05:20
Button,,2024-05-31 01:05:20
Button,,2024-05-31 01:05:20
Button,,2024-05-31 01:05:20
Button,,2024-05-31 01:05:20
Button,,2024-05-31 01:05:20
Button,,2024-05-31 01:05:20
Button,,2024-05-31 01:05:20
Button,,2024-05-31 01:05:20
Button,,2024-05-31 01:05:20
Button,,2024-05-31 01:05:20
Button,,2024-05-31 01:05:20
Button,,2024-05-31 01:05:20
Button,,2024-05-31 01:05:20
Button,,2024-05-31 01:05:20
Button,,2024-05-31 01:05:20
Button,,2024-05-31 01:05:20
Button,,2024-05-31 01:05:20
Button,,2024-05-31 01:05:20
Button,,2024-05-31 01:05:20
Button,,2024-05-31 01:05:20
Button,,2024-05-31 01:05:20
Button,,2024-05-31 01:05:20
Button,,2024-05-31 01:05:20
